id,country,replied_to_tweet_id,replied_to_user_id,reply_text,tweet_text,tweet_lang,text_en,mentions,tweet_date,tweet_emoticons,hashtags,tweet_urls,text_es,text_hi,verified,sa
1465718017942331395,Mexico,1465304536998895623,151968088,Pinche ridculo,Pinche ridculo,es,,['RicardoAnayaC'],2021-11-30T16:00:00Z,['🤣'],,,Pinche ridculo,,,-0.3333333333333333
1465714530105933828,Mexico,1465304536998895623,151968088,Hay si como si todos te creyeran,Hay si como si todos te creyeran,es,,"['RicardoAnayaC', 'Rgjosemiguel']",2021-11-30T16:00:00Z,,,,Hay si como si todos te creyeran,,,0.0
1465713874666098702,Mexico,1465304536998895623,151968088,Kk de ser a la crcel por asesino,Kk de ser a la crcel por asesino,es,,['RicardoAnayaC'],2021-11-30T16:00:00Z,,,,Kk de ser a la crcel por asesino,,,0.0
1465709011236311052,Mexico,1465304536998895623,151968088,"Es autoritario para los corruptos que junto con sus cmplices ya no pueden robar, abusar del gobierno y recibir descuentos de impuestos por eso el autoritario tiene grandes proyectos Refinera, Tren Maya y del Istmo, Aeropuerto","Es autoritario para los corruptos que junto con sus cmplices ya no pueden robar, abusar del gobierno y recibir descuentos de impuestos por eso el autoritario tiene grandes proyectos Refinera, Tren Maya y del Istmo, Aeropuerto",es,,['RicardoAnayaC'],2021-11-30T16:00:00Z,,,,"Es autoritario para los corruptos que junto con sus cmplices ya no pueden robar, abusar del gobierno y recibir descuentos de impuestos por eso el autoritario tiene grandes proyectos Refinera, Tren Maya y del Istmo, Aeropuerto",,,-0.14285714285714285
1465698921125089297,Mexico,1465304536998895623,151968088,K Anaya eres tan cnico que lanzaras la primera piedrasin escrpulos ya te ver en enero si es que eres inocente,K Anaya eres tan cnico que lanzaras la primera piedrasin escrpulos ya te ver en enero si es que eres inocente,es,,['RicardoAnayaC'],2021-11-30T15:00:00Z,,,,K Anaya eres tan cnico que lanzaras la primera piedrasin escrpulos ya te ver en enero si es que eres inocente,,,0.05000000000000001
1465695411931254787,Mexico,1465304536998895623,151968088,Vete a la mierda CORRUPTO!! Vas a caer !!!,Vete a la mierda CORRUPTO!! Vas a caer !!!,es,,['RicardoAnayaC'],2021-11-30T15:00:00Z,,,,Vete a la mierda CORRUPTO!! Vas a caer !!!,,,-0.49502314814814813
1465691619533930497,Mexico,1465304536998895623,151968088,AMLO es el verdadero cncer de Mxico; que sus fieles no lo vean es diferente.,AMLO es el verdadero cncer de Mxico; que sus fieles no lo vean es diferente.,es,,['RicardoAnayaC'],2021-11-30T15:00:00Z,,,,AMLO es el verdadero cncer de Mxico; que sus fieles no lo vean es diferente.,,,0.175
1465686226187468801,Mexico,1465304536998895623,151968088,Anayita...no tengas miedo regresa a Mxico,Anayita...no tengas miedo regresa a Mxico,es,,['RicardoAnayaC'],2021-11-30T14:00:00Z,,,,Anayita...no tengas miedo regresa a Mxico,,,-0.3
1465660162790809601,Mexico,1465304536998895623,151968088,Devuelve lo que te robaste canayin profugin raterin,Devuelve lo que te robaste canayin profugin raterin,es,,['RicardoAnayaC'],2021-11-30T13:00:00Z,,,,Devuelve lo que te robaste canayin profugin raterin,,,0.0
1465646549581500420,Mexico,1465304536998895623,151968088,"Ignaro en extremo, es un acuerdo no decreto. Un poco de saber te vendra genial. Mejor enfocate en tu proceso legal.","Ignaro en extremo, es un acuerdo no decreto. Un poco de saber te vendra genial. Mejor enfocate en tu proceso legal.",es,,['RicardoAnayaC'],2021-11-30T12:00:00Z,,,,"Ignaro en extremo, es un acuerdo no decreto. Un poco de saber te vendra genial. Mejor enfocate en tu proceso legal.",,,0.2375
